label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,20200906_m1_ASD_6uM_c8_Pos_fsPRM_2uL_007,20200906_m1_ASD_6uM_c8_Pos_fsPRM_2uL_008,20200906_m1_ASD_6uM_c8_Pos_FS_2uL_003,20200906_m1_ASD_6uM_c8_Pos_FS_2uL_004,20200912_m1_ASD_6uM_c8_Neg_fsPRM_2uL_008,20200912_m1_ASD_6uM_c8_Neg_fsPRM_2uL_009,20200912_m1_ASD_6uM_c8_Neg_FS_2uL_003,20200912_m1_ASD_6uM_c8_Neg_FS_2uL_004
b,277,277,1,183.066101,1.877,0.575797,[M-H]-,C12 PARENT,Phosphorylcholine,C00588,C5H15NO4P,-1.000,2.667233,183.066101,0.00,0.00,0.00,0.00,26607.84,15229.60,20564.66,20681.97
b,278,278,1,183.066086,3.481,0.500666,[M-H]-,C12 PARENT,Phosphorylcholine,C00588,C5H15NO4P,-1.000,2.750584,183.066086,0.00,0.00,0.00,0.00,28842.84,21391.69,22145.67,19539.62
b,279,279,1,183.066116,3.976,0.765262,[M-H]-,C12 PARENT,Phosphorylcholine,C00588,C5H15NO4P,-1.000,2.583882,183.066116,0.00,0.00,0.00,0.00,32037.60,18362.88,22740.00,25003.56
b,280,280,1,119.036530,0.160,0.747622,[M-H]-,C12 PARENT,purine,C00465,C5H4N4,-1.000,1.794604,119.036530,14899.96,12404.45,15569.41,10463.00,0.00,0.00,0.00,0.00
b,281,281,1,119.036530,0.292,0.694233,[M-H]-,C12 PARENT,purine,C00465,C5H4N4,-1.000,1.794604,119.036530,9862.91,4805.06,7247.81,17464.85,0.00,0.00,0.00,0.00
b,282,282,1,119.036552,2.669,0.832625,[M-H]-,C12 PARENT,purine,C00465,C5H4N4,-1.000,1.986883,119.036552,22794.77,10051.58,11582.81,6305.12,0.00,0.00,0.00,0.00
b,283,283,1,117.019463,0.795,0.587011,[M-H]-,C12 PARENT,succinate,C00042,C4H6O4,10.805,1.108361,117.019463,0.00,0.00,0.00,0.00,122304.22,103223.09,58849.45,79959.65
b,284,284,1,117.019463,0.795,0.587011,[M-H]-,C12 PARENT,Methylmalonic acid,C02170,C4H6O4,10.925,1.108361,117.019463,0.00,0.00,0.00,0.00,122304.22,103223.09,58849.45,79959.65
b,287,287,1,115.003693,7.451,0.621921,[M-H]-,C12 PARENT,fumarate,C00122,C4H4O4,6.049,0.066340,115.003693,0.00,0.00,0.00,0.00,31517.37,31927.62,47955.62,36564.50
b,290,290,2,102.056107,12.424,0.743495,[M-H]-,C12 PARENT,4-aminobutyrate,C00334,C4H9NO2,8.424,0.523298,102.056107,48051.54,84054.84,144097.83,58330.04,0.00,0.00,0.00,0.00
b,291,291,2,102.056107,12.424,0.743495,[M-H]-,C12 PARENT,dimethylglycine,C01026,C4H9NO2,-1.000,0.523298,102.056107,48051.54,84054.84,144097.83,58330.04,0.00,0.00,0.00,0.00
b,292,292,1,105.019318,8.449,0.770985,[M-H]-,C12 PARENT,glycerate,C00258,C3H6O4,1.759,0.145295,105.019318,0.00,0.00,0.00,0.00,5244.57,0.00,13462.04,5279.44
b,293,293,1,134.047119,0.292,0.558825,[M-H]-,C12 PARENT,adenine,C00147,C5H5N5,3.208,0.796820,134.047119,0.00,0.00,0.00,0.00,16889.62,18098.29,987.01,204.77
b,294,294,3,134.047058,0.495,0.727521,[M-H]-,C12 PARENT,adenine,C00147,C5H5N5,3.005,1.252146,134.047058,0.00,0.00,0.00,0.00,74019.88,79348.18,54111.12,67551.93
b,296,296,1,136.040527,1.707,0.612110,[M-H]-,C12 PARENT,anthranilate,C00108,C7H7NO2,11.763,0.897309,136.040527,3879.04,4154.89,4915.33,4037.17,43362.81,20781.40,30877.08,21906.43
b,297,297,1,136.040497,4.552,0.734608,[M-H]-,C12 PARENT,anthranilate,C00108,C7H7NO2,8.918,0.672982,136.040497,11558.96,8333.15,12896.32,23587.88,34055.15,30392.28,26935.20,33197.90
